name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,avg_return,return_volatility,cumulative_return,start_date,end_date,sp500_cumulative_return,normalized_return
Suzan K. DelBene,-0.0032039268,-0.0017910225,0.069428995,0.37316436,-0.051211417,-0.09264954,0.01730595,0.21991439,-0.20262939,0.10294878,0.27324718,-0.33566624,-0.2697285,-0.19548418,0.042008042,-0.0061553135,0.11161197,0.006709892,0.059253864,0.10190058,0.20139019,0.09874278,0.008703343,-0.09187284,0.0022062296,-0.07735194,-0.119441494,-0.065578826,0.010877793,-0.28978705,0.059867807,-0.056107886,0.021646071,-0.14277567,-0.027633324,-0.02979067,0.19933142,-0.012820924,0.19116764,0.2404939,-0.13582458,-0.22234982,0.12706289,-0.27206793,0.1512959,-0.12635092,-0.20469481,0.18473381,0.052689467,0.15511945,0.14671163,-0.108711876,0.35669237,-0.0113673825,0.121707544,-0.05488438,0.11562883,-0.1755691,-0.14857467,0.35167474,-0.13370563,-0.026485577,0.06284204,-0.00659329,-0.0003585931463821738,0.02329703774844653,-0.2624901831517512,2019-12-31 00:00:00,2021-12-31 00:00:00,0.46032367487068654,-0.7228138580224377
Greg Gianforte,-0.057149827,-0.04385742,0.22885142,-0.13166577,0.16430841,0.084232904,0.14198598,0.04976383,-0.35678267,-0.04230349,0.18571398,-0.41174835,-0.4034488,-0.20508608,0.12717167,-0.14101537,-0.20282555,0.17441906,0.19012785,0.28674802,0.063429564,0.13396668,0.14090738,-0.12979476,0.0983409,-0.079168834,-0.13450757,-0.17083701,0.16505362,-0.2013681,-0.077791534,-0.1094695,0.048053786,-0.12893057,-0.08245339,-0.12378911,0.37705126,-0.068042055,0.31006652,0.0048327516,-0.0028096135,-0.103914626,0.15653549,-0.13023171,-0.08972172,-0.17239065,0.17480248,0.02315108,0.05154008,0.2245211,0.11378301,0.12753066,0.17828272,0.14657782,-0.07055285,-0.07487705,0.20682594,0.059049394,0.12627202,0.22170962,0.02354566,0.0360969,-0.07960552,-0.048538897,0.0002672184214722882,0.01368678635439394,0.19506944767477039,2020-01-02 00:00:00,2021-12-31 00:00:00,0.45737765320877594,-0.2623082055340056
Earl Blumenauer,0.037958972,-0.20167731,0.050563194,0.25039497,0.05163037,-0.014734182,0.015864301,0.12774299,-0.092235446,-0.057846446,0.37974113,-0.060903504,-0.0298079,0.041088637,-0.20867443,-0.01845871,-0.08853531,-0.05187613,0.15047999,0.13876413,0.06667052,0.08715758,0.10265186,-0.15088399,-0.0028487444,0.14726062,-0.1383461,0.102831915,0.04388734,-0.23005961,-0.0936968,0.16178323,0.015387732,-0.055986952,-0.32405052,-0.24575429,0.15070894,-0.05698369,0.19807181,0.14546332,-0.17931613,-0.20732033,-0.034626245,-0.07663196,0.027727792,-0.228688,-0.2519057,-0.15303172,-0.13163121,0.14359002,0.038319126,-0.0023361943,0.16785865,0.16508603,0.28034323,0.2266489,0.40702376,-0.32402876,-0.053816557,0.44704494,-0.14758427,-0.17047665,-0.13089183,-0.08226838,0.00025899239134533254,0.005885174114834557,0.17792777285424347,2020-02-14 00:00:00,2021-12-31 00:00:00,0.41318749146163297,-0.2352597186073895
James Comer,0.04204622,-0.14765778,0.017602555,0.11215869,0.07912836,-0.44150212,-0.06648083,-0.02128453,-0.28745902,0.01493549,0.09979951,-0.10594734,-0.047932703,-0.32227895,0.07542167,0.075758815,0.10709281,-0.09606682,0.16644275,0.17194483,0.33735883,0.4458032,0.3103516,0.122657605,-0.34361413,-0.3113087,-0.13441983,-0.20015764,-0.19056681,-0.18437897,-0.23082228,0.07425287,0.0042227097,-0.050984718,0.106675655,-0.016383324,0.20402214,-0.12646763,-0.055356212,0.25417417,0.040474825,-0.1574027,0.007928757,-0.22588682,-0.094104975,-0.012452565,-0.062718265,-0.21725024,0.25371793,-0.062017363,-0.123271145,0.0043312726,0.029704452,0.20061424,0.011982172,0.12981717,0.14473045,-0.007927407,0.28577137,0.3803269,0.1759443,-0.21259941,-0.13915661,-0.035594016,0.0008023203796274298,0.019046618097948567,0.5455778581466523,2020-02-21 00:00:00,2021-12-31 00:00:00,0.4133736346605529,0.1322042234860994
James R. Langevin,0.112033464,-0.1949644,0.15649928,0.28699806,0.16707963,-0.20892963,-0.10195321,0.0068784873,-0.069078475,-0.5865082,0.021040961,-0.32150906,-0.2188455,-0.054133836,0.3851123,0.22396946,-0.024553398,-0.12109031,0.24761324,0.35957232,-0.2686782,0.31182814,0.19185041,-0.23949488,-0.098863155,-0.009620056,-0.10707988,-0.4034394,-0.1636973,-0.05682578,0.01999355,0.11657457,0.018083114,0.11346292,-0.23834391,0.2857914,0.29821223,0.0563354,-0.001581559,0.06593909,-0.18273099,-0.012424954,0.3040748,0.18400304,-0.014444146,-0.09202067,-0.21865565,-0.10841089,0.14428431,0.05844662,-0.09609374,-0.28765425,0.11605515,0.056030974,-0.14343035,0.01896776,-0.015520073,-0.34349674,0.06896487,0.18842094,-0.12752591,-0.2680596,-0.21223116,-0.011399113,-0.001527038638554375,0.02719315563612014,-1.5071871362531681,2019-04-20 00:00:00,2021-12-31 00:00:00,0.5691015023229129,-2.076288638576081
John Curtis,-0.07050203,-0.27807972,0.09242281,-0.06057639,0.18101536,0.034326762,0.08714869,0.20441219,-0.14831582,-0.26758847,0.18895356,-0.3573374,-0.2472183,-0.15465552,-0.05994689,-0.08517888,0.093205854,-0.158524,-0.043535598,0.13652427,0.074350886,0.4220522,0.1677013,0.05810877,0.05411031,0.05038606,-0.2167011,-0.04296924,0.10561087,-0.029671494,0.03267722,0.084575795,0.10445344,0.058105584,0.056365885,-0.09895246,0.39419532,0.0032342346,0.21475783,0.04676023,-0.06805994,-0.11001864,0.17069785,-0.04854029,0.03927701,-0.08287796,-0.09792997,-0.04453604,-0.09300169,0.28269222,-0.20160204,0.102972135,0.07630557,0.08673418,-0.046068553,-0.0030839483,0.20385678,-0.17789587,-0.12397748,0.32496503,-0.03161035,0.06633562,-0.024383456,-0.031063098,0.0003026788305731301,0.013016840940446361,0.2960198963005212,2019-04-29 00:00:00,2021-12-31 00:00:00,0.5571237236597483,-0.26110382735922705
Trey Hollingsworth,-0.10869973,-0.24001257,0.18989536,-0.079858355,0.43015763,-0.11146,0.24394,-0.48668408,-0.39698827,0.10657545,-0.032692295,-0.22878413,0.07500456,-0.40847588,0.025394768,0.615822,0.05616865,-0.014262732,0.26146615,0.369812,-0.10002984,0.3056675,0.2612102,-0.21730632,0.3266422,0.39823893,-0.2653746,0.095190115,0.14251696,-0.0609516,-0.07873648,-0.0831598,-0.27286327,-0.111316815,0.17660859,-0.119841166,-0.28413692,-0.02628978,0.08796084,-0.16919154,0.3389137,-0.12523998,-0.0021156652,-0.04949018,-0.48039222,-0.12446739,-0.08148468,0.06138171,0.23366113,0.1368954,0.49563935,0.40646896,0.30891204,0.28368333,0.58990246,0.020136772,0.0168512,-0.18676084,-0.4541738,0.33465427,-0.27204108,-0.1666197,0.044139262,-0.105938,4.743752397406921e-05,0.012356313917542465,0.022627698935631015,2020-09-11 00:00:00,2021-12-31 00:00:00,0.3688181921847439,-0.3461904932491129
Anthony E. Gonzalez,0.007320607,-0.0053370595,-0.009143306,-0.008469624,-0.010542434,-0.0069704615,0.010662772,0.008211946,-0.0117185,0.0040395856,0.010933805,0.014462166,-0.001864871,0.014066562,-0.004540203,-0.009216081,-0.0038137399,-0.009064188,0.0076847672,0.012738997,0.013844645,-0.0112825055,-0.013909554,0.008162031,-0.015053049,-0.009632509,-0.008813065,-0.011155104,-0.0013987999,-0.0018986296,0.01540157,0.005751863,0.006797135,0.010755271,0.0014158171,-0.00912028,0.0070470087,-0.012509253,-0.007518111,0.009147277,0.008577628,-0.0015307125,0.0004701391,0.0034240503,0.011447474,0.0026312955,0.00012813136,0.008150546,-0.0035947505,0.015298715,0.0045035984,0.0046278574,0.0055751335,-0.004212141,0.00936042,-0.010159694,0.011485867,-0.012410037,0.0006948225,0.0059860665,-0.013282042,-0.007653013,-0.009735774,-0.006949965,0.0002763760424455642,0.01671237250055164,0.13459513267098977,2020-09-01 00:00:00,2021-12-31 00:00:00,0.3232540820207831,-0.18865894934979333
William R. Keating,0.01566774,-0.31537282,-0.02401441,0.089305095,-0.2681285,0.08821429,0.039585385,0.010543678,-0.27302077,0.028276134,0.0670059,-0.30015138,-0.34405637,-0.2580913,0.1733991,0.059902668,0.093398266,-0.17571741,0.008181697,-0.10109968,0.06491893,0.122831814,0.34754214,-0.26465717,0.0064076306,0.15426508,-0.15907978,0.07026735,-0.10600715,-0.12867948,-0.08252327,-0.2220152,-0.030240003,0.08014334,-0.17470801,-0.25325224,0.09635981,0.19831182,0.005497465,0.0037304,-0.10682331,-0.068336725,-0.05239078,-0.3471544,-0.045792166,-0.34886858,-0.08546178,0.059208196,0.18670763,0.049683105,-0.0008882612,-0.18463442,0.11594283,0.06685877,0.1960341,-0.14034042,0.21120937,-0.33090484,0.086225115,0.4490795,-0.0721167,0.05706812,-0.21047255,0.039965756,0.0005106311081891044,0.006106274632948282,0.14808302137484028,2021-03-17 00:00:00,2021-12-31 00:00:00,0.19060235246899387,-0.042519331094153595
Raúl M. Grijalva,0.00265494,0.00086987205,0.009122519,0.012224821,-0.011645865,-0.011299033,-0.0010627508,-0.0071287956,-0.007420663,-0.011523647,-0.0022135302,-0.003182808,0.00050621293,0.0037757978,-0.009029919,-0.00510261,0.008662617,-0.007280793,-0.005929455,0.008958569,0.0036814306,0.008277211,-0.006038271,0.005295666,0.013067838,0.0045368355,0.01304809,0.014775088,0.008866986,0.014283178,0.005650725,0.005204551,0.009241857,-0.004717471,-0.011952708,-0.0012540687,0.0055589117,0.005407473,-0.0067345463,0.009859633,0.007150734,-0.0037984531,0.0074162222,0.0065024737,0.012273118,0.0068662707,-0.012925791,0.0009922963,-0.0027261674,0.003502626,-0.005825609,0.01402121,-0.0073398203,-0.008036435,0.011914341,0.011351362,-0.009491183,0.008512219,0.011072148,-0.0114945285,0.0045001544,-0.0076841265,0.011810688,-0.0079636425,-0.000643095160130507,0.020044752597960267,-0.3839278105979127,2020-05-14 00:00:00,2021-12-31 00:00:00,0.5451959064257456,-0.9291237170236583
